Sound Sink 1.0 Analysis File
D:\Users\Robin\Music\Lapfox trax - WI-FI bridge.wav - Name of original audio file
16 bit, mono, 44100Hz sampling rate - Temp File Info
256 - Power of 2 for FFT processing
7000 - Hi frequency cutoff
Hamming - FFT Window

-----------------
-Analysis Frames-
freq:4478,906 val:78,420 
freq:4651,172 val:100,000 
freq:4823,438 val:30,077 
freq:4995,703 val:40,435 
freq:5167,969 val:46,331 
freq:5340,234 val:13,568 
freq:5512,500 val:21,401 
freq:5684,766 val:45,145 
freq:5857,031 val:55,336 
freq:6029,297 val:19,306 
freq:6201,562 val:15,206 
freq:6373,828 val:10,786 
freq:6546,094 val:0,287 
freq:6718,359 val:32,001 
freq:6890,625 val:11,424 


	Frame 733:
Maxvol: 16937	Time: 36,603
freq:0,000 val:100,000 
freq:172,266 val:76,991 
freq:344,531 val:41,351 
freq:516,797 val:15,692 
freq:689,062 val:1,833 
freq:861,328 val:2,697 
freq:1033,594 val:14,557 
freq:1205,859 val:15,409 
freq:1378,125 val:1,672 
freq:1550,391 val:7,467 
freq:1722,656 val:5,344 
freq:1894,922 val:1,236 
freq:2067,188 val:4,475 
freq:2239,453 val:20,282 
freq:2411,719 val:10,858 
freq:2583,984 val:5,239 
freq:2756,250 val:19,398 
freq:2928,516 val:22,458 
freq:3100,781 val:11,630 
freq:3273,047 val:13,163 
freq:3445,312 val:30,179 
freq:3617,578 val:32,066 
freq:3789,844 val:4,122 
freq:3962,109 val:14,682 
freq:4134,375 val:4,080 
freq:4306,641 val:4,777 
freq:4478,906 val:8,120 
freq:4651,172 val:2,760 
freq:4823,438 val:7,072 
freq:4995,703 val:5,158 
freq:5167,969 val:6,174 
freq:5340,234 val:11,383 
freq:5512,500 val:5,396 
freq:5684,766 val:10,046 
freq:5857,031 val:8,319 
freq:6029,297 val:2,826 
freq:6201,562 val:1,841 
freq:6373,828 val:2,342 
freq:6546,094 val:3,339 
freq:6718,359 val:1,554 
freq:6890,625 val:0,860 


	Frame 734:
Maxvol: 20478	Time: 36,653
freq:0,000 val:70,065 
freq:172,266 val:27,895 
freq:344,531 val:74,327 
freq:516,797 val:100,000 
freq:689,062 val:98,863 
freq:861,328 val:71,737 
freq:1033,594 val:86,542 
freq:1205,859 val:16,907 
freq:1378,125 val:26,020 
freq:1550,391 val:3,476 
freq:1722,656 val:1,381 
freq:1894,922 val:14,861 
freq:2067,188 val:8,239 
freq:2239,453 val:24,230 
freq:2411,719 val:39,761 
freq:2583,984 val:31,318 
freq:2756,250 val:21,112 
freq:2928,516 val:27,028 
freq:3100,781 val:31,155 
freq:3273,047 val:4,128 
freq:3445,312 val:43,296 
freq:3617,578 val:50,625 
freq:3789,844 val:48,942 
freq:3962,109 val:45,974 
freq:4134,375 val:15,953 
freq:4306,641 val:70,166 
freq:4478,906 val:46,676 
freq:4651,172 val:38,087 
freq:4823,438 val:41,498 
freq:4995,703 val:13,140 
freq:5167,969 val:17,638 
freq:5340,234 val:27,361 
freq:5512,500 val:18,085 
freq:5684,766 val:9,927 
freq:5857,031 val:1,326 
freq:6029,297 val:1,428 
freq:6201,562 val:3,607 
freq:6373,828 val:6,324 
freq:6546,094 val:1,024 
freq:6718,359 val:2,092 
freq:6890,625 val:0,735 


	Frame 735:
Maxvol: 20736	Time: 36,703
freq:0,000 val:100,000 
freq:172,266 val:41,448 
freq:344,531 val:22,555 
freq:516,797 val:29,995 
freq:689,062 val:9,317 
freq:861,328 val:36,421 
freq:1033,594 val:65,221 
freq:1205,859 val:59,512 
freq:1378,125 val:59,572 
freq:1550,391 val:59,532 
freq:1722,656 val:2,310 
freq:1894,922 val:38,739 
freq:2067,188 val:58,121 
freq:2239,453 val:18,618 
freq:2411,719 val:22,524 
freq:2583,984 val:12,742 
freq:2756,250 val:9,135 
freq:2928,516 val:7,173 
freq:3100,781 val:3,598 
freq:3273,047 val:41,279 
freq:3445,312 val:16,407 
freq:3617,578 val:14,352 
freq:3789,844 val:45,427 
freq:3962,109 val:21,142 
freq:4134,375 val:32,341 
freq:4306,641 val:20,522 
freq:4478,906 val:29,067 
freq:4651,172 val:6,312 
freq:4823,438 val:23,588 
freq:4995,703 val:3,318 
freq:5167,969 val:2,135 
freq:5340,234 val:34,409 
freq:5512,500 val:39,458 
freq:5684,766 val:28,583 
freq:5857,031 val:61,904 
freq:6029,297 val:92,210 
freq:6201,562 val:21,951 
freq:6373,828 val:11,273 
freq:6546,094 val:36,468 
freq:6718,359 val:51,329 
freq:6890,625 val:18,876 


	Frame 736:
Maxvol: 16528	Time: 36,753
freq:0,000 val:21,140 
freq:172,266 val:100,000 
freq:344,531 val:54,739 
freq:516,797 val:14,566 
freq:689,062 val:21,446 
freq:861,328 val:15,038 
freq:1033,594 val:17,111 
freq:1205,859 val:21,377 
freq:1378,125 val:2,453 
freq:1550,391 val:11,654 
freq:1722,656 val:2,201 
freq:1894,922 val:32,178 
freq:2067,188 val:49,359 
freq:2239,453 val:36,698 
freq:2411,719 val:1,845 
freq:2583,984 val:12,003 
freq:2756,250 val:13,662 
freq:2928,516 val:31,461 
freq:3100,781 val:54,019 
freq:3273,047 val:17,723 
freq:3445,312 val:10,172 
freq:3617,578 val:16,281 
freq:3789,844 val:17,391 
freq:3962,109 val:42,686 
freq:4134,375 val:61,758 
freq:4306,641 val:74,453 
freq:4478,906 val:48,413 
freq:4651,172 val:13,057 
freq:4823,438 val:8,293 
freq:4995,703 val:1,157 
freq:5167,969 val:20,448 
freq:5340,234 val:41,638 
freq:5512,500 val:36,467 
freq:5684,766 val:16,750 
freq:5857,031 val:1,795 
freq:6029,297 val:24,085 
freq:6201,562 val:10,807 
freq:6373,828 val:18,602 
freq:6546,094 val:22,452 
freq:6718,359 val:1,526 
freq:6890,625 val:3,385 


	Frame 737:
Maxvol: 16539	Time: 36,803
freq:0,000 val:100,000 
freq:172,266 val:47,573 
freq:344,531 val:18,613 
freq:516,797 val:14,503 
freq:689,062 val:3,670 
freq:861,328 val:0,672 
freq:1033,594 val:3,329 
freq:1205,859 val:2,751 
freq:1378,125 val:0,715 
freq:1550,391 val:7,932 
freq:1722,656 val:5,441 
freq:1894,922 val:3,845 
freq:2067,188 val:4,539 
freq:2239,453 val:2,451 
freq:2411,719 val:5,391 
freq:2583,984 val:4,095 
freq:2756,250 val:5,892 
freq:2928,516 val:4,556 
freq:3100,781 val:1,302 
freq:3273,047 val:1,793 
freq:3445,312 val:8,010 
freq:3617,578 val:9,816 
freq:3789,844 val:11,543 
freq:3962,109 val:9,085 
freq:4134,375 val:4,122 
freq:4306,641 val:2,594 
freq:4478,906 val:0,977 
freq:4651,172 val:0,026 
freq:4823,438 val:2,639 
freq:4995,703 val:2,832 
freq:5167,969 val:2,015 
freq:5340,234 val:4,482 
freq:5512,500 val:2,006 
freq:5684,766 val:1,721 
freq:5857,031 val:0,462 
freq:6029,297 val:4,634 
freq:6201,562 val:0,124 
freq:6373,828 val:2,856 
freq:6546,094 val:0,043 
freq:6718,359 val:0,916 
freq:6890,625 val:1,298 


	Frame 738:
Maxvol: 16750	Time: 36,853
freq:0,000 val:69,779 
freq:172,266 val:23,513 
freq:344,531 val:70,162 
freq:516,797 val:100,000 
freq:689,062 val:55,606 
freq:861,328 val:14,869 
freq:1033,594 val:56,497 
freq:1205,859 val:52,203 
freq:1378,125 val:12,100 
freq:1550,391 val:25,397 
freq:1722,656 val:44,990 
freq:1894,922 val:30,913 
freq:2067,188 val:81,522 
freq:2239,453 val:40,056 
freq:2411,719 val:6,707 
freq:2583,984 val:49,583 
freq:2756,250 val:65,663 
freq:2928,516 val:6,818 
freq:3100,781 val:1,465 
freq:3273,047 val:5,393 
freq:3445,312 val:19,608 
freq:3617,578 val:26,951 
freq:3789,844 val:55,921 
freq:3962,109 val:71,829 
freq:4134,375 val:24,751 
freq:4306,641 val:13,096 
freq:4478,906 val:20,546 
freq:4651,172 val:26,338 
freq:4823,438 val:25,154 
freq:4995,703 val:8,196 
freq:5167,969 val:5,456 
freq:5340,234 val:0,274 
freq:5512,500 val:11,777 
freq:5684,766 val:0,699 
freq:5857,031 val:19,242 
freq:6029,297 val:11,729 
freq:6201,562 val:31,761 
freq:6373,828 val:47,270 
freq:6546,094 val:23,511 
freq:6718,359 val:16,043 
freq:6890,625 val:16,701 


	Frame 739:
Maxvol: 7128	Time: 36,903
freq:0,000 val:100,000 
freq:172,266 val:70,639 
freq:344,531 val:4,165 
freq:516,797 val:16,192 
freq:689,062 val:12,273 
freq:861,328 val:6,204 
freq:1033,594 val:9,026 
freq:1205,859 val:4,920 
freq:1378,125 val:3,089 
freq:1550,391 val:0,283 
freq:1722,656 val:0,613 
freq:1894,922 val:6,784 
freq:2067,188 val:6,434 
freq:2239,453 val:0,863 
freq:2411,719 val:6,185 
freq:2583,984 val:4,373 
freq:2756,250 val:1,515 
freq:2928,516 val:2,179 
freq:3100,781 val:1,108 
freq:3273,047 val:2,762 
freq:3445,312 val:0,798 
freq:3617,578 val:1,596 
freq:3789,844 val:0,635 
freq:3962,109 val:0,633 
freq:4134,375 val:2,974 
freq:4306,641 val:6,472 
freq:4478,906 val:7,282 
freq:4651,172 val:0,210 
freq:4823,438 val:5,536 
freq:4995,703 val:4,958 
freq:5167,969 val:8,203 
freq:5340,234 val:12,854 
freq:5512,500 val:5,409 
freq:5684,766 val:4,471 
freq:5857,031 val:2,805 
freq:6029,297 val:1,347 
freq:6201,562 val:2,524 
freq:6373,828 val:0,571 
freq:6546,094 val:1,427 
freq:6718,359 val:0,830 
freq:6890,625 val:1,352 


	Frame 740:
Maxvol: 13652	Time: 36,953
freq:0,000 val:100,000 
freq:172,266 val:91,148 
freq:344,531 val:61,256 
freq:516,797 val:29,429 
freq:689,062 val:13,367 
freq:861,328 val:4,284 
freq:1033,594 val:25,030 
freq:1205,859 val:35,328 
freq:1378,125 val:17,855 
freq:1550,391 val:15,614 
freq:1722,656 val:31,338 
freq:1894,922 val:39,986 
freq:2067,188 val:37,609 
freq:2239,453 val:17,464 
freq:2411,719 val:36,180 
freq:2583,984 val:27,750 
freq:2756,250 val:4,635 
freq:2928,516 val:24,336 
freq:3100,781 val:15,509 
freq:3273,047 val:7,921 
freq:3445,312 val:0,409 
freq:3617,578 val:1,175 
freq:3789,844 val:5,904 
freq:3962,109 val:6,672 
freq:4134,375 val:24,718 
freq:4306,641 val:27,744 
freq:4478,906 val:0,378 
freq:4651,172 val:15,821 
freq:4823,438 val:1,546 
freq:4995,703 val:17,716 
freq:5167,969 val:16,937 
freq:5340,234 val:4,286 
freq:5512,500 val:14,425 
freq:5684,766 val:4,463 
freq:5857,031 val:2,954 
freq:6029,297 val:21,279 
freq:6201,562 val:11,646 
freq:6373,828 val:10,926 
freq:6546,094 val:6,036 
freq:6718,359 val:0,701 
freq:6890,625 val:14,324 


	Frame 741:
Maxvol: 16326	Time: 37,003
freq:0,000 val:100,000 
freq:172,266 val:0,077 
freq:344,531 val:26,791 
freq:516,797 val:12,376 
freq:689,062 val:9,700 
freq:861,328 val:7,922 
freq:1033,594 val:39,806 
freq:1205,859 val:33,923 
freq:1378,125 val:1,898 
freq:1550,391 val:13,957 
freq:1722,656 val:12,280 
freq:1894,922 val:2,550 
freq:2067,188 val:16,604 
freq:2239,453 val:1,245 
freq:2411,719 val:16,317 
freq:2583,984 val:9,425 
freq:2756,250 val:30,505 
freq:2928,516 val:18,559 
freq:3100,781 val:2,372 
freq:3273,047 val:34,488 
freq:3445,312 val:40,965 
freq:3617,578 val:8,815 
freq:3789,844 val:13,345 
freq:3962,109 val:25,146 
freq:4134,375 val:32,595 
freq:4306,641 val:2,680 
freq:4478,906 val:12,763 
freq:4651,172 val:19,305 
freq:4823,438 val:43,261 
freq:4995,703 val:25,090 
freq:5167,969 val:5,347 
freq:5340,234 val:17,291 
freq:5512,500 val:23,143 
freq:5684,766 val:45,218 
freq:5857,031 val:36,843 
freq:6029,297 val:26,741 
freq:6201,562 val:41,147 
freq:6373,828 val:18,566 
freq:6546,094 val:4,163 
freq:6718,359 val:14,162 
freq:6890,625 val:25,893 


	Frame 742:
Maxvol: 15883	Time: 37,053
freq:0,000 val:99,595 
freq:172,266 val:100,000 
freq:344,531 val:63,690 
freq:516,797 val:5,057 
freq:689,062 val:8,324 
freq:861,328 val:4,803 
freq:1033,594 val:17,228 
freq:1205,859 val:16,218 
freq:1378,125 val:2,170 
freq:1550,391 val:8,740 
freq:1722,656 val:8,531 
freq:1894,922 val:14,312 
freq:2067,188 val:17,165 
freq:2239,453 val:4,280 
freq:2411,719 val:0,142 
freq:2583,984 val:7,973 
freq:2756,250 val:10,787 
freq:2928,516 val:2,513 
freq:3100,781 val:3,997 
freq:3273,047 val:14,224 
freq:3445,312 val:10,635 
freq:3617,578 val:10,335 
freq:3789,844 val:1,626 
freq:3962,109 val:9,919 
freq:4134,375 val:26,182 
freq:4306,641 val:23,972 
freq:4478,906 val:10,523 
freq:4651,172 val:16,848 
freq:4823,438 val:9,407 
freq:4995,703 val:5,421 
freq:5167,969 val:15,579 
freq:5340,234 val:10,771 
freq:5512,500 val:2,032 
freq:5684,766 val:1,489 
freq:5857,031 val:0,725 
freq:6029,297 val:1,528 
freq:6201,562 val:6,638 
freq:6373,828 val:5,900 
freq:6546,094 val:6,782 
freq:6718,359 val:20,102 
freq:6890,625 val:15,050 


	Frame 743:
Maxvol: 16896	Time: 37,103
freq:0,000 val:100,000 
freq:172,266 val:79,835 
freq:344,531 val:37,287 
freq:516,797 val:19,650 
freq:689,062 val:22,446 
freq:861,328 val:17,191 
freq:1033,594 val:23,312 
freq:1205,859 val:25,132 
freq:1378,125 val:15,351 
freq:1550,391 val:7,944 
freq:1722,656 val:15,939 
freq:1894,922 val:16,879 
freq:2067,188 val:7,083 
freq:2239,453 val:5,489 
freq:2411,719 val:4,407 
freq:2583,984 val:3,107 
freq:2756,250 val:2,083 
freq:2928,516 val:0,277 
freq:3100,781 val:3,301 
freq:3273,047 val:2,995 
freq:3445,312 val:1,577 
freq:3617,578 val:0,089 
freq:3789,844 val:12,838 
freq:3962,109 val:19,189 
freq:4134,375 val:15,538 
freq:4306,641 val:11,328 
freq:4478,906 val:4,671 
freq:4651,172 val:0,973 
freq:4823,438 val:6,833 
freq:4995,703 val:9,799 
freq:5167,969 val:3,704 
freq:5340,234 val:8,905 
freq:5512,500 val:12,320 
freq:5684,766 val:10,273 
freq:5857,031 val:0,716 
freq:6029,297 val:6,353 
freq:6201,562 val:10,664 
freq:6373,828 val:9,209 
freq:6546,094 val:2,618 
freq:6718,359 val:0,364 
freq:6890,625 val:3,462 


	Frame 744:
Maxvol: 15795	Time: 37,153
freq:0,000 val:36,536 
freq:172,266 val:16,700 
freq:344,531 val:94,654 
freq:516,797 val:51,849 
freq:689,062 val:14,412 
freq:861,328 val:50,240 
freq:1033,594 val:4,124 
freq:1205,859 val:66,676 
freq:1378,125 val:19,024 
freq:1550,391 val:12,292 
freq:1722,656 val:16,310 
freq:1894,922 val:77,498 
freq:2067,188 val:100,000 
freq:2239,453 val:79,340 
freq:2411,719 val:6,145 
freq:2583,984 val:18,086 
freq:2756,250 val:8,343 
freq:2928,516 val:14,869 
freq:3100,781 val:11,406 
freq:3273,047 val:27,527 
freq:3445,312 val:5,092 
freq:3617,578 val:13,820 
freq:3789,844 val:3,028 
freq:3962,109 val:5,555 
freq:4134,375 val:20,247 
freq:4306,641 val:5,272 
freq:4478,906 val:5,210 
freq:4651,172 val:15,334 
freq:4823,438 val:24,012 
freq:4995,703 val:6,939 
freq:5167,969 val:14,798 
freq:5340,234 val:21,017 
freq:5512,500 val:3,423 
freq:5684,766 val:17,881 
freq:5857,031 val:8,390 
freq:6029,297 val:11,249 
freq:6201,562 val:16,324 
freq:6373,828 val:26,723 
freq:6546,094 val:10,112 
freq:6718,359 val:14,807 
freq:6890,625 val:1,581 


	Frame 745:
Maxvol: 10339	Time: 37,203
freq:0,000 val:100,000 
freq:172,266 val:92,363 
freq:344,531 val:46,137 
freq:516,797 val:7,451 
freq:689,062 val:4,785 
freq:861,328 val:9,148 
freq:1033,594 val:8,992 
freq:1205,859 val:1,248 
freq:1378,125 val:3,915 
freq:1550,391 val:6,418 
freq:1722,656 val:10,928 
freq:1894,922 val:5,811 
freq:2067,188 val:6,178 
freq:2239,453 val:4,921 
freq:2411,719 val:0,886 
freq:2583,984 val:1,656 
freq:2756,250 val:2,710 
freq:2928,516 val:2,275 
freq:3100,781 val:3,053 
freq:3273,047 val:4,716 
freq:3445,312 val:3,017 
freq:3617,578 val:1,408 
freq:3789,844 val:1,329 
freq:3962,109 val:6,099 
freq:4134,375 val:9,288 
freq:4306,641 val:6,023 
freq:4478,906 val:7,051 
freq:4651,172 val:1,700 
freq:4823,438 val:4,850 
freq:4995,703 val:1,747 
freq:5167,969 val:1,932 
freq:5340,234 val:3,066 
freq:5512,500 val:0,839 
freq:5684,766 val:4,919 
freq:5857,031 val:6,927 
freq:6029,297 val:6,891 
freq:6201,562 val:1,024 
freq:6373,828 val:8,442 
freq:6546,094 val:6,430 
freq:6718,359 val:4,030 
freq:6890,625 val:0,134 


	Frame 746:
Maxvol: 11224	Time: 37,253
freq:0,000 val:67,950 
freq:172,266 val:92,686 
freq:344,531 val:100,000 
freq:516,797 val:48,452 
freq:689,062 val:10,895 
freq:861,328 val:13,638 
freq:1033,594 val:46,836 
freq:1205,859 val:22,878 
freq:1378,125 val:5,646 
freq:1550,391 val:2,786 
freq:1722,656 val:14,091 
freq:1894,922 val:22,528 
freq:2067,188 val:21,348 
freq:2239,453 val:6,693 
freq:2411,719 val:1,991 
freq:2583,984 val:2,597 
freq:2756,250 val:1,918 
freq:2928,516 val:11,165 
freq:3100,781 val:21,834 
freq:3273,047 val:12,498 
freq:3445,312 val:0,671 
freq:3617,578 val:10,158 
freq:3789,844 val:3,222 
freq:3962,109 val:5,304 
freq:4134,375 val:8,068 
freq:4306,641 val:1,811 
freq:4478,906 val:0,145 
freq:4651,172 val:2,784 
freq:4823,438 val:7,881 
freq:4995,703 val:7,555 
freq:5167,969 val:3,344 
freq:5340,234 val:1,621 
freq:5512,500 val:8,436 
freq:5684,766 val:14,192 
freq:5857,031 val:0,672 
freq:6029,297 val:5,206 
freq:6201,562 val:7,654 
freq:6373,828 val:6,367 
freq:6546,094 val:1,220 
freq:6718,359 val:2,588 
freq:6890,625 val:4,545 


	Frame 747:
Maxvol: 20534	Time: 37,303
freq:0,000 val:100,000 
freq:172,266 val:13,619 
freq:344,531 val:51,217 
freq:516,797 val:20,245 
freq:689,062 val:29,531 
freq:861,328 val:50,088 
freq:1033,594 val:43,982 
freq:1205,859 val:49,829 
freq:1378,125 val:23,142 
freq:1550,391 val:0,322 
freq:1722,656 val:13,399 
freq:1894,922 val:44,818 
freq:2067,188 val:35,547 
freq:2239,453 val:39,953 
freq:2411,719 val:27,734 
freq:2583,984 val:40,353 
freq:2756,250 val:40,364 
freq:2928,516 val:0,677 
freq:3100,781 val:21,782 
freq:3273,047 val:46,564 
freq:3445,312 val:51,211 
freq:3617,578 val:6,533 
freq:3789,844 val:0,808 
freq:3962,109 val:0,079 
freq:4134,375 val:14,632 
freq:4306,641 val:18,745 
freq:4478,906 val:19,278 
freq:4651,172 val:9,244 
freq:4823,438 val:12,536 
freq:4995,703 val:33,099 
freq:5167,969 val:68,549 
freq:5340,234 val:40,866 
freq:5512,500 val:22,022 
freq:5684,766 val:81,606 
freq:5857,031 val:39,295 
freq:6029,297 val:57,093 
freq:6201,562 val:68,098 
freq:6373,828 val:31,213 
freq:6546,094 val:11,427 
freq:6718,359 val:2,384 
freq:6890,625 val:5,636 


	Frame 748:
Maxvol: 18678	Time: 37,353
freq:0,000 val:41,219 
freq:172,266 val:70,375 
freq:344,531 val:100,000 
freq:516,797 val:55,827 
freq:689,062 val:8,062 
freq:861,328 val:1,006 
freq:1033,594 val:7,650 
freq:1205,859 val:1,031 
freq:1378,125 val:20,802 
freq:1550,391 val:30,733 
freq:1722,656 val:17,781 
freq:1894,922 val:10,053 
freq:2067,188 val:9,205 
freq:2239,453 val:9,122 
freq:2411,719 val:4,922 
freq:2583,984 val:5,235 
freq:2756,250 val:17,207 
freq:2928,516 val:26,782 
freq:3100,781 val:9,839 
freq:3273,047 val:7,368 
freq:3445,312 val:5,567 
freq:3617,578 val:13,596 
freq:3789,844 val:3,225 
freq:3962,109 val:5,511 
freq:4134,375 val:34,693 
freq:4306,641 val:40,038 
freq:4478,906 val:14,333 
freq:4651,172 val:14,189 
freq:4823,438 val:20,515 
freq:4995,703 val:22,629 
freq:5167,969 val:24,434 
freq:5340,234 val:17,505 
freq:5512,500 val:3,170 
freq:5684,766 val:6,684 
freq:5857,031 val:0,154 
freq:6029,297 val:7,915 
freq:6201,562 val:10,803 
freq:6373,828 val:12,065 
freq:6546,094 val:2,700 
freq:6718,359 val:25,083 
freq:6890,625 val:22,478 


	Frame 749:
Maxvol: 13481	Time: 37,403
freq:0,000 val:100,000 
freq:172,266 val:56,854 
freq:344,531 val:25,283 
freq:516,797 val:28,345 
freq:689,062 val:7,519 
freq:861,328 val:1,148 
freq:1033,594 val:2,562 
freq:1205,859 val:8,328 
freq:1378,125 val:24,976 
freq:1550,391 val:24,518 
freq:1722,656 val:8,866 
freq:1894,922 val:7,061 
freq:2067,188 val:12,707 
freq:2239,453 val:8,092 
freq:2411,719 val:3,025 
freq:2583,984 val:9,754 
freq:2756,250 val:15,500 
freq:2928,516 val:6,425 
freq:3100,781 val:6,745 
freq:3273,047 val:5,374 
freq:3445,312 val:5,331 
freq:3617,578 val:17,700 
freq:3789,844 val:8,802 
freq:3962,109 val:2,868 
freq:4134,375 val:7,312 
freq:4306,641 val:1,321 
freq:4478,906 val:8,897 
freq:4651,172 val:8,612 
freq:4823,438 val:10,952 
freq:4995,703 val:7,276 
freq:5167,969 val:3,715 
freq:5340,234 val:9,261 
freq:5512,500 val:8,093 
freq:5684,766 val:6,819 
freq:5857,031 val:4,607 
freq:6029,297 val:8,467 
freq:6201,562 val:0,500 
freq:6373,828 val:4,204 
freq:6546,094 val:0,040 
freq:6718,359 val:4,662 
freq:6890,625 val:9,642 


	Frame 750:
Maxvol: 19284	Time: 37,453
freq:0,000 val:100,000 
freq:172,266 val:59,901 
freq:344,531 val:12,849 
freq:516,797 val:5,637 
freq:689,062 val:29,016 
freq:861,328 val:7,877 
freq:1033,594 val:40,360 
freq:1205,859 val:71,939 
freq:1378,125 val:50,034 
freq:1550,391 val:49,821 
freq:1722,656 val:15,464 
freq:1894,922 val:25,765 
freq:2067,188 val:34,258 
freq:2239,453 val:20,064 
freq:2411,719 val:7,140 
freq:2583,984 val:15,755 
freq:2756,250 val:26,581 
freq:2928,516 val:19,237 
freq:3100,781 val:2,226 
freq:3273,047 val:35,947 
freq:3445,312 val:4,681 
freq:3617,578 val:34,609 
freq:3789,844 val:12,190 
freq:3962,109 val:7,446 
freq:4134,375 val:33,363 
freq:4306,641 val:28,070 
freq:4478,906 val:35,096 
freq:4651,172 val:11,743 
freq:4823,438 val:25,835 
freq:4995,703 val:22,822 
freq:5167,969 val:2,881 
freq:5340,234 val:9,486 
freq:5512,500 val:15,186 
freq:5684,766 val:51,740 
freq:5857,031 val:35,052 
freq:6029,297 val:13,157 
freq:6201,562 val:10,461 
freq:6373,828 val:5,825 
freq:6546,094 val:6,256 
freq:6718,359 val:3,248 
freq:6890,625 val:3,535 


	Frame 751:
Maxvol: 13213	Time: 37,503
freq:0,000 val:100,000 
freq:172,266 val:81,285 
freq:344,531 val:43,465 
freq:516,797 val:7,965 
freq:689,062 val:10,034 
freq:861,328 val:29,348 
freq:1033,594 val:34,866 
freq:1205,859 val:14,094 
freq:1378,125 val:3,551 
freq:1550,391 val:10,192 
freq:1722,656 val:3,003 
freq:1894,922 val:1,542 
freq:2067,188 val:6,558 
freq:2239,453 val:10,357 
freq:2411,719 val:6,281 
freq:2583,984 val:0,038 
freq:2756,250 val:7,748 
freq:2928,516 val:13,513 
freq:3100,781 val:4,444 
freq:3273,047 val:2,039 
freq:3445,312 val:4,950 
freq:3617,578 val:0,325 
freq:3789,844 val:6,836 
freq:3962,109 val:2,253 
freq:4134,375 val:8,509 
freq:4306,641 val:15,278 
freq:4478,906 val:8,024 
freq:4651,172 val:7,324 
freq:4823,438 val:2,743 
freq:4995,703 val:0,811 
freq:5167,969 val:6,862 
freq:5340,234 val:0,826 
freq:5512,500 val:7,371 
freq:5684,766 val:0,574 
freq:5857,031 val:0,194 
freq:6029,297 val:5,133 
freq:6201,562 val:10,535 
freq:6373,828 val:8,024 
freq:6546,094 val:0,074 
freq:6718,359 val:8,331 
freq:6890,625 val:7,463 


	Frame 752:
Maxvol: 7238	Time: 37,553
freq:0,000 val:100,000 
freq:172,266 val:64,709 
freq:344,531 val:13,681 
freq:516,797 val:8,933 
freq:689,062 val:4,292 
freq:861,328 val:29,019 
freq:1033,594 val:42,732 
freq:1205,859 val:21,046 
freq:1378,125 val:3,880 
freq:1550,391 val:2,491 
freq:1722,656 val:2,850 
freq:1894,922 val:17,237 
freq:2067,188 val:19,409 
freq:2239,453 val:3,060 
freq:2411,719 val:0,639 
freq:2583,984 val:8,709 
freq:2756,250 val:16,290 
freq:2928,516 val:6,241 
freq:3100,781 val:6,521 
freq:3273,047 val:9,745 
freq:3445,312 val:7,721 
freq:3617,578 val:4,568 
freq:3789,844 val:9,343 
freq:3962,109 val:1,409 
freq:4134,375 val:14,466 
freq:4306,641 val:6,342 
freq:4478,906 val:11,894 
freq:4651,172 val:20,178 
freq:4823,438 val:22,461 
freq:4995,703 val:8,013 
freq:5167,969 val:5,096 
freq:5340,234 val:6,597 
freq:5512,500 val:11,378 
freq:5684,766 val:15,007 
freq:5857,031 val:13,680 
freq:6029,297 val:2,041 
freq:6201,562 val:8,557 
freq:6373,828 val:1,942 
freq:6546,094 val:0,104 
freq:6718,359 val:5,481 
freq:6890,625 val:14,950 


	Frame 753:
Maxvol: 21938	Time: 37,603
freq:0,000 val:100,000 
freq:172,266 val:86,922 
freq:344,531 val:38,392 
freq:516,797 val:17,536 
freq:689,062 val:5,745 
freq:861,328 val:32,220 
freq:1033,594 val:19,220 
freq:1205,859 val:10,383 
freq:1378,125 val:0,791 
freq:1550,391 val:7,178 
freq:1722,656 val:1,898 
freq:1894,922 val:0,337 
freq:2067,188 val:4,404 
freq:2239,453 val:6,279 
freq:2411,719 val:4,961 
freq:2583,984 val:4,872 
freq:2756,250 val:0,822 
freq:2928,516 val:8,205 
freq:3100,781 val:4,594 
freq:3273,047 val:45,592 
freq:3445,312 val:41,078 
freq:3617,578 val:6,048 
freq:3789,844 val:15,554 
freq:3962,109 val:5,274 
freq:4134,375 val:3,225 
freq:4306,641 val:2,480 
freq:4478,906 val:10,153 
freq:4651,172 val:24,011 
freq:4823,438 val:24,050 
freq:4995,703 val:9,560 
freq:5167,969 val:1,439 
freq:5340,234 val:9,087 
freq:5512,500 val:4,552 
freq:5684,766 val:9,477 
freq:5857,031 val:9,295 
freq:6029,297 val:37,976 
freq:6201,562 val:25,418 
freq:6373,828 val:8,142 
freq:6546,094 val:1,481 
freq:6718,359 val:7,705 
freq:6890,625 val:0,465 


	Frame 754:
Maxvol: 24226	Time: 37,653
freq:0,000 val:100,000 
freq:172,266 val:68,288 
freq:344,531 val:19,690 
freq:516,797 val:20,463 
freq:689,062 val:14,423 
freq:861,328 val:12,007 
freq:1033,594 val:4,122 
freq:1205,859 val:3,035 
freq:1378,125 val:3,486 
freq:1550,391 val:11,878 
freq:1722,656 val:15,109 
freq:1894,922 val:14,641 
freq:2067,188 val:8,917 
freq:2239,453 val:3,529 
freq:2411,719 val:0,069 
