Sound Sink 1.0 Analysis File
D:\Users\Robin\Music\Lapfox trax - WI-FI bridge.wav - Name of original audio file
16 bit, mono, 44100Hz sampling rate - Temp File Info
256 - Power of 2 for FFT processing
7000 - Hi frequency cutoff
Hamming - FFT Window

-----------------
-Analysis Frames-
freq:5512,500 val:39,680 
freq:5684,766 val:16,077 
freq:5857,031 val:23,724 
freq:6029,297 val:36,155 
freq:6201,562 val:45,747 
freq:6373,828 val:21,405 
freq:6546,094 val:98,838 
freq:6718,359 val:100,000 
freq:6890,625 val:81,235 


	Frame 6:
Maxvol: 3540	Time: 0,253
freq:0,000 val:1,639 
freq:172,266 val:11,232 
freq:344,531 val:85,917 
freq:516,797 val:100,000 
freq:689,062 val:46,887 
freq:861,328 val:21,474 
freq:1033,594 val:27,421 
freq:1205,859 val:5,702 
freq:1378,125 val:4,339 
freq:1550,391 val:15,618 
freq:1722,656 val:37,483 
freq:1894,922 val:36,458 
freq:2067,188 val:20,699 
freq:2239,453 val:7,496 
freq:2411,719 val:8,124 
freq:2583,984 val:6,785 
freq:2756,250 val:8,922 
freq:2928,516 val:10,995 
freq:3100,781 val:10,075 
freq:3273,047 val:4,402 
freq:3445,312 val:2,616 
freq:3617,578 val:3,342 
freq:3789,844 val:1,792 
freq:3962,109 val:6,921 
freq:4134,375 val:8,321 
freq:4306,641 val:1,395 
freq:4478,906 val:7,355 
freq:4651,172 val:9,986 
freq:4823,438 val:5,588 
freq:4995,703 val:2,903 
freq:5167,969 val:2,586 
freq:5340,234 val:0,522 
freq:5512,500 val:4,184 
freq:5684,766 val:0,392 
freq:5857,031 val:0,649 
freq:6029,297 val:0,514 
freq:6201,562 val:1,767 
freq:6373,828 val:1,796 
freq:6546,094 val:0,512 
freq:6718,359 val:5,250 
freq:6890,625 val:4,188 


	Frame 7:
Maxvol: 6573	Time: 0,303
freq:0,000 val:0,830 
freq:172,266 val:0,964 
freq:344,531 val:1,417 
freq:516,797 val:3,054 
freq:689,062 val:5,320 
freq:861,328 val:0,062 
freq:1033,594 val:2,344 
freq:1205,859 val:65,961 
freq:1378,125 val:100,000 
freq:1550,391 val:26,522 
freq:1722,656 val:2,810 
freq:1894,922 val:18,996 
freq:2067,188 val:16,855 
freq:2239,453 val:1,591 
freq:2411,719 val:1,265 
freq:2583,984 val:0,821 
freq:2756,250 val:3,568 
freq:2928,516 val:0,079 
freq:3100,781 val:5,463 
freq:3273,047 val:8,300 
freq:3445,312 val:2,995 
freq:3617,578 val:1,080 
freq:3789,844 val:2,643 
freq:3962,109 val:5,099 
freq:4134,375 val:4,278 
freq:4306,641 val:0,668 
freq:4478,906 val:2,135 
freq:4651,172 val:1,074 
freq:4823,438 val:0,768 
freq:4995,703 val:0,626 
freq:5167,969 val:5,506 
freq:5340,234 val:8,703 
freq:5512,500 val:1,950 
freq:5684,766 val:2,136 
freq:5857,031 val:2,964 
freq:6029,297 val:2,010 
freq:6201,562 val:0,817 
freq:6373,828 val:3,682 
freq:6546,094 val:8,984 
freq:6718,359 val:3,404 
freq:6890,625 val:0,815 


	Frame 8:
Maxvol: 6032	Time: 0,353
freq:0,000 val:0,814 
freq:172,266 val:0,276 
freq:344,531 val:1,340 
freq:516,797 val:58,792 
freq:689,062 val:100,000 
freq:861,328 val:29,450 
freq:1033,594 val:0,619 
freq:1205,859 val:16,858 
freq:1378,125 val:28,367 
freq:1550,391 val:7,360 
freq:1722,656 val:1,144 
freq:1894,922 val:12,255 
freq:2067,188 val:11,903 
freq:2239,453 val:1,204 
freq:2411,719 val:19,845 
freq:2583,984 val:58,640 
freq:2756,250 val:34,887 
freq:2928,516 val:2,710 
freq:3100,781 val:4,043 
freq:3273,047 val:6,708 
freq:3445,312 val:1,471 
freq:3617,578 val:1,423 
freq:3789,844 val:17,120 
freq:3962,109 val:43,280 
freq:4134,375 val:23,259 
freq:4306,641 val:0,053 
freq:4478,906 val:7,788 
freq:4651,172 val:12,791 
freq:4823,438 val:6,057 
freq:4995,703 val:0,995 
freq:5167,969 val:8,059 
freq:5340,234 val:14,482 
freq:5512,500 val:3,968 
freq:5684,766 val:0,528 
freq:5857,031 val:4,922 
freq:6029,297 val:6,550 
freq:6201,562 val:1,074 
freq:6373,828 val:4,337 
freq:6546,094 val:7,398 
freq:6718,359 val:2,116 
freq:6890,625 val:0,826 


	Frame 9:
Maxvol: 3406	Time: 0,403
freq:0,000 val:2,989 
freq:172,266 val:29,882 
freq:344,531 val:81,472 
freq:516,797 val:64,041 
freq:689,062 val:50,368 
freq:861,328 val:100,000 
